,title,pct_n_affected,total_cost
154,"(0, 0, 0, 0, 1, 2, 2, 0, 1)",19.2787059136,1100232.0
155,"(0, 0, 0, 0, 1, 2, 2, 0, 2)",19.0798196765,1117533.63333
156,"(0, 0, 0, 0, 1, 2, 2, 1, 0)",17.8599840891,1081628.03333
157,"(0, 0, 0, 0, 1, 2, 2, 1, 1)",17.2500662954,1090818.16667
158,"(0, 0, 0, 0, 1, 2, 2, 1, 2)",17.0511800583,1108119.8
159,"(0, 0, 0, 0, 1, 2, 2, 2, 0)",17.4489525325,1110566.2
160,"(0, 0, 0, 0, 1, 2, 2, 2, 1)",16.8390347388,1119756.33333
161,"(0, 0, 0, 0, 1, 2, 2, 2, 2)",16.6401485017,1137057.96667
162,"(0, 0, 0, 0, 2, 0, 0, 0, 0)",22.6199946964,1226424.16667
163,"(0, 0, 0, 0, 2, 0, 0, 0, 1)",22.0100769027,1235614.3
164,"(0, 0, 0, 0, 2, 0, 0, 0, 2)",21.8111906656,1252915.93333
165,"(0, 0, 0, 0, 2, 0, 0, 1, 0)",20.5913550782,1217010.33333
166,"(0, 0, 0, 0, 2, 0, 0, 1, 1)",19.9814372845,1226200.46667
167,"(0, 0, 0, 0, 2, 0, 0, 1, 2)",19.7825510475,1243502.1
168,"(0, 0, 0, 0, 2, 0, 0, 2, 0)",20.1803235216,1245948.5
169,"(0, 0, 0, 0, 2, 0, 0, 2, 1)",19.5704057279,1255138.63333
170,"(0, 0, 0, 0, 2, 0, 0, 2, 2)",19.3715194909,1272440.26667
171,"(0, 0, 0, 0, 2, 0, 1, 0, 0)",21.1614956245,1211559.96667
172,"(0, 0, 0, 0, 2, 0, 1, 0, 1)",20.5515778308,1220750.1
173,"(0, 0, 0, 0, 2, 0, 1, 0, 2)",20.3526915937,1238051.73333
174,"(0, 0, 0, 0, 2, 0, 1, 1, 0)",19.1328560064,1202146.13333
175,"(0, 0, 0, 0, 2, 0, 1, 1, 1)",18.5229382127,1211336.26667
176,"(0, 0, 0, 0, 2, 0, 1, 1, 2)",18.3240519756,1228637.9
177,"(0, 0, 0, 0, 2, 0, 1, 2, 0)",18.7218244497,1231084.3
178,"(0, 0, 0, 0, 2, 0, 1, 2, 1)",18.1119066561,1240274.43333
179,"(0, 0, 0, 0, 2, 0, 1, 2, 2)",17.913020419,1257576.06667
180,"(0, 0, 0, 0, 2, 0, 2, 0, 0)",19.8886237072,1212946.43333
181,"(0, 0, 0, 0, 2, 0, 2, 0, 1)",19.2787059136,1222136.56667
182,"(0, 0, 0, 0, 2, 0, 2, 0, 2)",19.0798196765,1239438.2
183,"(0, 0, 0, 0, 2, 0, 2, 1, 0)",17.8599840891,1203532.6
184,"(0, 0, 0, 0, 2, 0, 2, 1, 1)",17.2500662954,1212722.73333
185,"(0, 0, 0, 0, 2, 0, 2, 1, 2)",17.0511800583,1230024.36667
186,"(0, 0, 0, 0, 2, 0, 2, 2, 0)",17.4489525325,1232470.76667
187,"(0, 0, 0, 0, 2, 0, 2, 2, 1)",16.8390347388,1241660.9
188,"(0, 0, 0, 0, 2, 0, 2, 2, 2)",16.6401485017,1258962.53333
189,"(0, 0, 0, 0, 2, 1, 0, 0, 0)",22.6199946964,1250200.1
190,"(0, 0, 0, 0, 2, 1, 0, 0, 1)",22.0100769027,1259390.23333
191,"(0, 0, 0, 0, 2, 1, 0, 0, 2)",21.8111906656,1276691.86667
192,"(0, 0, 0, 0, 2, 1, 0, 1, 0)",20.5913550782,1240786.26667
193,"(0, 0, 0, 0, 2, 1, 0, 1, 1)",19.9814372845,1249976.4
194,"(0, 0, 0, 0, 2, 1, 0, 1, 2)",19.7825510475,1267278.03333
195,"(0, 0, 0, 0, 2, 1, 0, 2, 0)",20.1803235216,1269724.43333
196,"(0, 0, 0, 0, 2, 1, 0, 2, 1)",19.5704057279,1278914.56667
197,"(0, 0, 0, 0, 2, 1, 0, 2, 2)",19.3715194909,1296216.2
198,"(0, 0, 0, 0, 2, 1, 1, 0, 0)",21.1614956245,1235335.9
199,"(0, 0, 0, 0, 2, 1, 1, 0, 1)",20.5515778308,1244526.03333
200,"(0, 0, 0, 0, 2, 1, 1, 0, 2)",20.3526915937,1261827.66667
201,"(0, 0, 0, 0, 2, 1, 1, 1, 0)",19.1328560064,1225922.06667
202,"(0, 0, 0, 0, 2, 1, 1, 1, 1)",18.5229382127,1235112.2
203,"(0, 0, 0, 0, 2, 1, 1, 1, 2)",18.3240519756,1252413.83333
204,"(0, 0, 0, 0, 2, 1, 1, 2, 0)",18.7218244497,1254860.23333
205,"(0, 0, 0, 0, 2, 1, 1, 2, 1)",18.1119066561,1264050.36667
206,"(0, 0, 0, 0, 2, 1, 1, 2, 2)",17.913020419,1281352.0
207,"(0, 0, 0, 0, 2, 1, 2, 0, 0)",19.8886237072,1236722.36667
